component,date,biomass_g_per_m2,stand,trap_number
male_cones,1983-07-02,5.12,3,8
pine_needles,1983-07-02,10.28,3,8
spruce_needles,1983-07-02,0,3,8
structural,1983-07-02,1.96,3,8
total_litter,1983-07-02,17.68,3,8
alder_leaves,1983-07-02,0.52,3,9
aspen_leaves,1983-07-02,0.36,3,9
female_cones,1983-07-02,0,3,9
fir_needles,1983-07-02,0,3,9
male_cones,1983-07-02,5.64,3,9
pine_needles,1983-07-02,10.04,3,9
spruce_needles,1983-07-02,0,3,9
structural,1983-07-02,3.68,3,9
total_litter,1983-07-02,20.24,3,9
alder_leaves,1983-07-02,0.04,3,10
aspen_leaves,1983-07-02,0,3,10
female_cones,1983-07-02,0,3,10
fir_needles,1983-07-02,0,3,10
male_cones,1983-07-02,5.28,3,10
pine_needles,1983-07-02,12.04,3,10
spruce_needles,1983-07-02,0,3,10
structural,1983-07-02,6.24,3,10
total_litter,1983-07-02,23.6,3,10
alder_leaves,1983-08-07,0.64,3,1
aspen_leaves,1983-08-07,0,3,1
female_cones,1983-08-07,0,3,1
fir_needles,1983-08-07,0,3,1
male_cones,1983-08-07,3.44,3,1
pine_needles,1983-08-07,24.44,3,1
spruce_needles,1983-08-07,0,3,1
structural,1983-08-07,24.16,3,1
total_litter,1983-08-07,52.68,3,1
alder_leaves,1983-08-07,3.56,3,2
aspen_leaves,1983-08-07,0,3,2
female_cones,1983-08-07,0,3,2
fir_needles,1983-08-07,0,3,2
male_cones,1983-08-07,3.4,3,2
pine_needles,1983-08-07,29.96,3,2
spruce_needles,1983-08-07,0.36,3,2
structural,1983-08-07,54.6,3,2
total_litter,1983-08-07,91.88,3,2
alder_leaves,1983-08-07,3.48,3,3
aspen_leaves,1983-08-07,0,3,3
female_cones,1983-08-07,0,3,3
fir_needles,1983-08-07,0,3,3
male_cones,1983-08-07,4.12,3,3
pine_needles,1983-08-07,30.64,3,3
spruce_needles,1983-08-07,0,3,3
structural,1983-08-07,59.52,3,3
total_litter,1983-08-07,97.76,3,3
alder_leaves,1983-08-07,1.2,3,4
aspen_leaves,1983-08-07,0,3,4
female_cones,1983-08-07,0,3,4
fir_needles,1983-08-07,0,3,4
male_cones,1983-08-07,6.96,3,4
pine_needles,1983-08-07,34.12,3,4
spruce_needles,1983-08-07,0,3,4
structural,1983-08-07,53.08,3,4
total_litter,1983-08-07,95.36,3,4
alder_leaves,1983-08-07,0,3,5
aspen_leaves,1983-08-07,0,3,5
female_cones,1983-08-07,0,3,5
fir_needles,1983-08-07,0,3,5
male_cones,1983-08-07,5.64,3,5
pine_needles,1983-08-07,25.24,3,5
spruce_needles,1983-08-07,0,3,5
structural,1983-08-07,35.36,3,5
total_litter,1983-08-07,66.24,3,5
alder_leaves,1983-08-07,1.08,3,6
aspen_leaves,1983-08-07,0,3,6
female_cones,1983-08-07,0,3,6
fir_needles,1983-08-07,0,3,6
male_cones,1983-08-07,5.24,3,6
pine_needles,1983-08-07,25.56,3,6
spruce_needles,1983-08-07,1.16,3,6
structural,1983-08-07,61.04,3,6
total_litter,1983-08-07,94.08,3,6
alder_leaves,1983-08-07,1.4,3,7
aspen_leaves,1983-08-07,0,3,7
female_cones,1983-08-07,0,3,7
fir_needles,1983-08-07,0,3,7
male_cones,1983-08-07,6.6,3,7
pine_needles,1983-08-07,23.2,3,7
spruce_needles,1983-08-07,0,3,7
structural,1983-08-07,17.8,3,7
total_litter,1983-08-07,49,3,7
alder_leaves,1983-08-07,0,3,8
aspen_leaves,1983-08-07,1.32,3,8
female_cones,1983-08-07,0,3,8
fir_needles,1983-08-07,0,3,8
male_cones,1983-08-07,3.4,3,8
pine_needles,1983-08-07,20.68,3,8
spruce_needles,1983-08-07,0,3,8
structural,1983-08-07,24.44,3,8
total_litter,1983-08-07,49.84,3,8
alder_leaves,1983-08-07,0,3,9
aspen_leaves,1983-08-07,0.96,3,9
female_cones,1983-08-07,0,3,9
fir_needles,1983-08-07,0,3,9
male_cones,1983-08-07,3.8,3,9
pine_needles,1983-08-07,17.68,3,9
spruce_needles,1983-08-07,0,3,9
structural,1983-08-07,36.32,3,9
total_litter,1983-08-07,58.76,3,9
alder_leaves,1983-08-07,4.48,3,10
aspen_leaves,1983-08-07,0.6,3,10
female_cones,1983-08-07,0,3,10
fir_needles,1983-08-07,0,3,10
male_cones,1983-08-07,3.56,3,10
pine_needles,1983-08-07,18.4,3,10
spruce_needles,1983-08-07,0,3,10
structural,1983-08-07,43.28,3,10
total_litter,1983-08-07,70.32,3,10
alder_leaves,1983-09-07,4.56,3,1
aspen_leaves,1983-09-07,0,3,1
female_cones,1983-09-07,0,3,1
fir_needles,1983-09-07,0,3,1
male_cones,1983-09-07,0.48,3,1
pine_needles,1983-09-07,20.52,3,1
spruce_needles,1983-09-07,0,3,1
structural,1983-09-07,14.36,3,1
total_litter,1983-09-07,39.92,3,1
alder_leaves,1983-09-07,26.44,3,2
aspen_leaves,1983-09-07,0,3,2
female_cones,1983-09-07,0,3,2
fir_needles,1983-09-07,0,3,2
male_cones,1983-09-07,1.08,3,2
pine_needles,1983-09-07,25.72,3,2
spruce_needles,1983-09-07,0,3,2
structural,1983-09-07,13.44,3,2
total_litter,1983-09-07,66.68,3,2
alder_leaves,1983-09-07,4.56,3,3
aspen_leaves,1983-09-07,0,3,3
female_cones,1983-09-07,0,3,3
fir_needles,1983-09-07,0,3,3
male_cones,1983-09-07,0.36,3,3
pine_needles,1983-09-07,24.32,3,3
spruce_needles,1983-09-07,0,3,3
structural,1983-09-07,25.84,3,3
total_litter,1983-09-07,55.08,3,3
alder_leaves,1983-09-07,7.16,3,4
aspen_leaves,1983-09-07,0,3,4
female_cones,1983-09-07,0,3,4
fir_needles,1983-09-07,0,3,4
male_cones,1983-09-07,1.12,3,4
pine_needles,1983-09-07,23.12,3,4
spruce_needles,1983-09-07,0,3,4
structural,1983-09-07,17.92,3,4
total_litter,1983-09-07,49.32,3,4
alder_leaves,1983-09-07,1.56,3,5
aspen_leaves,1983-09-07,0,3,5
female_cones,1983-09-07,0,3,5
fir_needles,1983-09-07,0,3,5
male_cones,1983-09-07,0.88,3,5
pine_needles,1983-09-07,26.08,3,5
spruce_needles,1983-09-07,0.04,3,5
structural,1983-09-07,13.68,3,5
total_litter,1983-09-07,42.24,3,5
alder_leaves,1983-09-07,4.08,3,6
aspen_leaves,1983-09-07,0,3,6
female_cones,1983-09-07,0,3,6
fir_needles,1983-09-07,0,3,6
male_cones,1983-09-07,0.92,3,6
pine_needles,1983-09-07,18.72,3,6
spruce_needles,1983-09-07,0,3,6
structural,1983-09-07,49,3,6
total_litter,1983-09-07,72.72,3,6
alder_leaves,1983-09-07,6.6,3,7
aspen_leaves,1983-09-07,0,3,7
female_cones,1983-09-07,0,3,7
fir_needles,1983-09-07,0,3,7
male_cones,1983-09-07,0.96,3,7
pine_needles,1983-09-07,22.24,3,7
spruce_needles,1983-09-07,0,3,7
structural,1983-09-07,8.96,3,7
total_litter,1983-09-07,38.76,3,7
alder_leaves,1983-09-07,0,3,8
aspen_leaves,1983-09-07,0,3,8
female_cones,1983-09-07,0,3,8
fir_needles,1983-09-07,0,3,8
male_cones,1983-09-07,0,3,8
pine_needles,1983-09-07,0,3,8
spruce_needles,1983-09-07,0,3,8
structural,1983-09-07,0,3,8
total_litter,1983-09-07,0,3,8
alder_leaves,1983-09-07,0.08,3,9
aspen_leaves,1983-09-07,1.08,3,9
female_cones,1983-09-07,0,3,9
fir_needles,1983-09-07,0,3,9
male_cones,1983-09-07,0.48,3,9
pine_needles,1983-09-07,15.96,3,9
spruce_needles,1983-09-07,0,3,9
structural,1983-09-07,21.4,3,9
total_litter,1983-09-07,39,3,9
alder_leaves,1983-09-07,3.56,3,10
aspen_leaves,1983-09-07,0.44,3,10
female_cones,1983-09-07,0,3,10
fir_needles,1983-09-07,0,3,10
male_cones,1983-09-07,0.6,3,10
pine_needles,1983-09-07,20.84,3,10
spruce_needles,1983-09-07,0,3,10
structural,1983-09-07,44.48,3,10
total_litter,1983-09-07,69.92,3,10
alder_leaves,1983-10-07,1.52,3,1
aspen_leaves,1983-10-07,0,3,1
female_cones,1983-10-07,0,3,1
fir_needles,1983-10-07,0,3,1
male_cones,1983-10-07,0.16,3,1
pine_needles,1983-10-07,24.84,3,1
spruce_needles,1983-10-07,0,3,1
structural,1983-10-07,16.44,3,1
total_litter,1983-10-07,42.96,3,1
alder_leaves,1983-10-07,25.44,3,2
aspen_leaves,1983-10-07,0,3,2
female_cones,1983-10-07,0,3,2
fir_needles,1983-10-07,0,3,2
male_cones,1983-10-07,0,3,2
pine_needles,1983-10-07,15.08,3,2
spruce_needles,1983-10-07,0,3,2
structural,1983-10-07,0.4,3,2
total_litter,1983-10-07,40.92,3,2
alder_leaves,1983-10-07,35.28,3,3
aspen_leaves,1983-10-07,0,3,3
female_cones,1983-10-07,0,3,3
fir_needles,1983-10-07,0,3,3
male_cones,1983-10-07,0.04,3,3
pine_needles,1983-10-07,13.28,3,3
spruce_needles,1983-10-07,0,3,3
structural,1983-10-07,0.92,3,3
total_litter,1983-10-07,49.52,3,3
alder_leaves,1983-10-07,22.88,3,4
aspen_leaves,1983-10-07,0,3,4
female_cones,1983-10-07,0,3,4
fir_needles,1983-10-07,0,3,4
male_cones,1983-10-07,0,3,4
pine_needles,1983-10-07,16.48,3,4
spruce_needles,1983-10-07,0,3,4
structural,1983-10-07,0.44,3,4
total_litter,1983-10-07,39.8,3,4
alder_leaves,1983-10-07,3,3,5
aspen_leaves,1983-10-07,0,3,5
female_cones,1983-10-07,0,3,5
fir_needles,1983-10-07,0,3,5
male_cones,1983-10-07,0.08,3,5
pine_needles,1983-10-07,17.8,3,5
spruce_needles,1983-10-07,0,3,5
structural,1983-10-07,0.6,3,5
total_litter,1983-10-07,21.48,3,5
alder_leaves,1983-10-07,5.24,3,6
aspen_leaves,1983-10-07,0,3,6
female_cones,1983-10-07,0,3,6
fir_needles,1983-10-07,0,3,6
male_cones,1983-10-07,0.16,3,6
pine_needles,1983-10-07,10.68,3,6
spruce_needles,1983-10-07,0,3,6
structural,1983-10-07,4.76,3,6
total_litter,1983-10-07,20.84,3,6
alder_leaves,1983-10-07,35.76,3,7
aspen_leaves,1983-10-07,0,3,7
female_cones,1983-10-07,0,3,7
fir_needles,1983-10-07,0,3,7
male_cones,1983-10-07,0,3,7
pine_needles,1983-10-07,20.84,3,7
spruce_needles,1983-10-07,0,3,7
structural,1983-10-07,1.2,3,7
total_litter,1983-10-07,57.8,3,7
alder_leaves,1983-10-07,1.76,3,8
aspen_leaves,1983-10-07,0.56,3,8
female_cones,1983-10-07,0,3,8
fir_needles,1983-10-07,0,3,8
male_cones,1983-10-07,0.04,3,8
pine_needles,1983-10-07,20.6,3,8
spruce_needles,1983-10-07,0,3,8
structural,1983-10-07,0.32,3,8
total_litter,1983-10-07,23.28,3,8
alder_leaves,1983-10-07,0.48,3,9
aspen_leaves,1983-10-07,11.16,3,9
female_cones,1983-10-07,0,3,9
fir_needles,1983-10-07,0,3,9
male_cones,1983-10-07,0,3,9
pine_needles,1983-10-07,20.64,3,9
spruce_needles,1983-10-07,0,3,9
structural,1983-10-07,4.12,3,9
total_litter,1983-10-07,36.4,3,9
alder_leaves,1983-10-07,12.48,3,10
aspen_leaves,1983-10-07,4.6,3,10
female_cones,1983-10-07,0,3,10
fir_needles,1983-10-07,0,3,10
male_cones,1983-10-07,0.12,3,10
pine_needles,1983-10-07,22.6,3,10
spruce_needles,1983-10-07,0,3,10
structural,1983-10-07,4.08,3,10
total_litter,1983-10-07,43.88,3,10
alder_leaves,1983-11-07,0.92,3,1
aspen_leaves,1983-11-07,0,3,1
female_cones,1983-11-07,0,3,1
fir_needles,1983-11-07,0,3,1
male_cones,1983-11-07,0.08,3,1
pine_needles,1983-11-07,37.56,3,1
spruce_needles,1983-11-07,0,3,1
structural,1983-11-07,2.48,3,1
total_litter,1983-11-07,41.04,3,1
alder_leaves,1983-11-07,5,3,2
aspen_leaves,1983-11-07,0,3,2
female_cones,1983-11-07,0,3,2
fir_needles,1983-11-07,0,3,2
male_cones,1983-11-07,0.04,3,2
pine_needles,1983-11-07,19.12,3,2
spruce_needles,1983-11-07,6.4,3,2
structural,1983-11-07,4.2,3,2
total_litter,1983-11-07,34.76,3,2
alder_leaves,1983-11-07,1.8,3,3
aspen_leaves,1983-11-07,0,3,3
female_cones,1983-11-07,0,3,3
fir_needles,1983-11-07,0,3,3
male_cones,1983-11-07,0.04,3,3
pine_needles,1983-11-07,30.4,3,3
spruce_needles,1983-11-07,0,3,3
structural,1983-11-07,14.84,3,3
total_litter,1983-11-07,47.08,3,3
alder_leaves,1983-11-07,2.32,3,4
aspen_leaves,1983-11-07,0,3,4
female_cones,1983-11-07,0,3,4
fir_needles,1983-11-07,0,3,4
male_cones,1983-11-07,0.04,3,4
pine_needles,1983-11-07,28.44,3,4
spruce_needles,1983-11-07,0,3,4
structural,1983-11-07,3.24,3,4
total_litter,1983-11-07,34.04,3,4
alder_leaves,1983-11-07,1,3,5
aspen_leaves,1983-11-07,0,3,5
female_cones,1983-11-07,0,3,5
fir_needles,1983-11-07,0,3,5
male_cones,1983-11-07,0.08,3,5
pine_needles,1983-11-07,35.64,3,5
spruce_needles,1983-11-07,1.44,3,5
structural,1983-11-07,11.12,3,5
total_litter,1983-11-07,49.28,3,5
alder_leaves,1983-11-07,0.76,3,6
aspen_leaves,1983-11-07,0,3,6
female_cones,1983-11-07,0,3,6
fir_needles,1983-11-07,0,3,6
male_cones,1983-11-07,0.12,3,6
pine_needles,1983-11-07,17.16,3,6
spruce_needles,1983-11-07,11.24,3,6
structural,1983-11-07,2.76,3,6
total_litter,1983-11-07,32.04,3,6
alder_leaves,1983-11-07,2.84,3,7
aspen_leaves,1983-11-07,0.12,3,7
female_cones,1983-11-07,0,3,7
fir_needles,1983-11-07,0,3,7
male_cones,1983-11-07,0.08,3,7
pine_needles,1983-11-07,36.92,3,7
spruce_needles,1983-11-07,0,3,7
structural,1983-11-07,1.28,3,7
total_litter,1983-11-07,41.24,3,7
alder_leaves,1983-11-07,1.68,3,8
aspen_leaves,1983-11-07,1.48,3,8
female_cones,1983-11-07,0,3,8
fir_needles,1983-11-07,0,3,8
male_cones,1983-11-07,0,3,8
pine_needles,1983-11-07,34.12,3,8
spruce_needles,1983-11-07,0,3,8
structural,1983-11-07,0.56,3,8
total_litter,1983-11-07,37.84,3,8
alder_leaves,1983-11-07,0.48,3,9
aspen_leaves,1983-11-07,6.88,3,9
female_cones,1983-11-07,0,3,9
fir_needles,1983-11-07,0,3,9
male_cones,1983-11-07,0.28,3,9
pine_needles,1983-11-07,35.68,3,9
spruce_needles,1983-11-07,0.04,3,9
structural,1983-11-07,2.36,3,9
total_litter,1983-11-07,45.72,3,9
alder_leaves,1983-11-07,4,3,10
aspen_leaves,1983-11-07,4,3,10
female_cones,1983-11-07,0,3,10
fir_needles,1983-11-07,0,3,10
male_cones,1983-11-07,0.04,3,10
pine_needles,1983-11-07,37,3,10
spruce_needles,1983-11-07,0,3,10
structural,1983-11-07,1.24,3,10
total_litter,1983-11-07,46.28,3,10
alder_leaves,1984-05-07,0,3,1
aspen_leaves,1984-05-07,0,3,1
female_cones,1984-05-07,0,3,1
fir_needles,1984-05-07,0,3,1
male_cones,1984-05-07,0.36,3,1
pine_needles,1984-05-07,76.52,3,1
spruce_needles,1984-05-07,0,3,1
structural,1984-05-07,22.08,3,1
total_litter,1984-05-07,98.96,3,1
alder_leaves,1984-05-07,3.8,3,2
aspen_leaves,1984-05-07,0,3,2
female_cones,1984-05-07,0,3,2
fir_needles,1984-05-07,0,3,2
male_cones,1984-05-07,0.4,3,2
pine_needles,1984-05-07,59.76,3,2
spruce_needles,1984-05-07,8.52,3,2
structural,1984-05-07,13.12,3,2
total_litter,1984-05-07,85.6,3,2
alder_leaves,1984-05-07,0.28,3,3
aspen_leaves,1984-05-07,0,3,3
female_cones,1984-05-07,0,3,3
fir_needles,1984-05-07,0,3,3
male_cones,1984-05-07,0.52,3,3
pine_needles,1984-05-07,64.92,3,3
spruce_needles,1984-05-07,0.04,3,3
structural,1984-05-07,31.2,3,3
total_litter,1984-05-07,96.96,3,3
alder_leaves,1984-05-07,0.48,3,4
aspen_leaves,1984-05-07,0,3,4
female_cones,1984-05-07,0,3,4
fir_needles,1984-05-07,0,3,4
male_cones,1984-05-07,0.48,3,4
pine_needles,1984-05-07,75.96,3,4
spruce_needles,1984-05-07,0,3,4
structural,1984-05-07,40.44,3,4
total_litter,1984-05-07,117.36,3,4
alder_leaves,1984-05-07,0.08,3,5
aspen_leaves,1984-05-07,0,3,5
female_cones,1984-05-07,0,3,5
fir_needles,1984-05-07,0,3,5
male_cones,1984-05-07,0.6,3,5
pine_needles,1984-05-07,59.2,3,5
spruce_needles,1984-05-07,2.28,3,5
structural,1984-05-07,58.28,3,5
total_litter,1984-05-07,120.44,3,5
alder_leaves,1984-05-07,0.88,3,6
aspen_leaves,1984-05-07,0,3,6
female_cones,1984-05-07,0,3,6
fir_needles,1984-05-07,0,3,6
male_cones,1984-05-07,0.4,3,6
pine_needles,1984-05-07,42.64,3,6
spruce_needles,1984-05-07,10.88,3,6
structural,1984-05-07,30.76,3,6
total_litter,1984-05-07,85.56,3,6
alder_leaves,1984-05-07,0,3,7
aspen_leaves,1984-05-07,0,3,7
female_cones,1984-05-07,0,3,7
fir_needles,1984-05-07,0,3,7
male_cones,1984-05-07,0.36,3,7
pine_needles,1984-05-07,71.64,3,7
spruce_needles,1984-05-07,0,3,7
structural,1984-05-07,46,3,7
total_litter,1984-05-07,118,3,7
alder_leaves,1984-05-07,0.88,3,8
aspen_leaves,1984-05-07,0,3,8
female_cones,1984-05-07,0,3,8
fir_needles,1984-05-07,0,3,8
male_cones,1984-05-07,0.24,3,8
pine_needles,1984-05-07,57.24,3,8
spruce_needles,1984-05-07,0,3,8
structural,1984-05-07,12.92,3,8
total_litter,1984-05-07,71.28,3,8
alder_leaves,1984-05-07,0.48,3,9
aspen_leaves,1984-05-07,0,3,9
female_cones,1984-05-07,0,3,9
fir_needles,1984-05-07,0,3,9
male_cones,1984-05-07,0.52,3,9
pine_needles,1984-05-07,52.2,3,9
spruce_needles,1984-05-07,0.08,3,9
structural,1984-05-07,22.84,3,9
total_litter,1984-05-07,76.12,3,9
alder_leaves,1984-05-07,1.32,3,10
aspen_leaves,1984-05-07,0,3,10
female_cones,1984-05-07,0,3,10
fir_needles,1984-05-07,0,3,10
male_cones,1984-05-07,0.48,3,10
pine_needles,1984-05-07,74.88,3,10
spruce_needles,1984-05-07,0.12,3,10
structural,1984-05-07,135.12,3,10
total_litter,1984-05-07,211.92,3,10
